Posição,Clube,Vitorias,Derrotas,Empates,Gols feitos,Gols sofridos,Pontos
1,Flamengo,21,9,8,68,48,71
2,Internacional,20,8,10,61,35,70
3,Atlético-MG,20,10,8,64,45,68
4,São Paulo,18,8,12,59,41,66
5,Fluminense,18,10,10,55,42,64
6,Grêmio,14,7,17,53,40,59
7,Palmeiras,15,10,13,51,37,58
8,Santos,14,12,12,52,51,54
9,Athletico-PR,15,15,8,38,36,53
10,Bragantino,13,11,14,50,40,53
11,Ceará,14,14,10,54,51,52
12,Corinthians,13,13,12,45,45,51
13,Atlético-GO,12,12,14,40,45,50
14,Bahia,12,18,8,48,59,44
15,Sport,12,20,6,31,50,42
16,Fortaleza,10,17,11,34,44,41
17,Vasco da Gama,10,17,11,37,56,41
18,Goiás,9,19,10,41,63,37
19,Coritiba,7,21,10,31,54,31
20,Botafogo,5,21,12,32,62,27
