Posição,Clube,Vitorias,Derrotas,Empates,Gols feitos,Gols sofridos,Pontos
1,Palmeiras,7,2,1,11,6,22
2,Flamengo,6,1,3,19,4,21
3,Cruzeiro,6,2,2,15,7,20
4,Bragantino,6,2,2,12,8,20
5,Fluminense,5,3,2,13,12,17
6,Botafogo,4,3,3,13,7,15
7,Ceará,4,3,3,13,10,15
8,Bahia,4,3,3,9,10,15
9,Corinthians,4,4,2,12,14,14
10,Mirassol,3,2,5,16,12,14
11,Atlético-MG,3,2,5,10,10,14
12,Grêmio,3,4,3,9,14,12
13,São Paulo,2,2,6,8,9,12
14,Internacional,2,3,5,12,14,11
15,Vasco da Gama,3,6,1,11,13,10
16,Fortaleza,2,4,4,10,10,10
17,Vitória,2,5,3,10,14,9
18,Santos,2,6,2,8,11,8
19,Juventude,2,6,2,8,22,8
20,Sport,0,7,3,5,17,3
