Posição,Clube,Vitorias,Derrotas,Empates,Gols feitos,Gols sofridos,Pontos
1,Palmeiras,20,8,10,64,33,70
2,Grêmio,21,12,5,63,56,68
3,Atlético-MG,19,10,9,52,32,66
4,Flamengo,19,10,9,56,42,66
5,Botafogo,18,10,10,58,37,64
6,Bragantino,17,10,11,49,35,62
7,Fluminense,16,14,8,51,47,56
8,Athletico-PR,14,10,14,51,43,56
9,Internacional,15,13,10,46,45,55
10,Fortaleza,15,14,9,45,44,54
11,São Paulo,14,13,11,40,38,53
12,Cuiabá,14,15,9,40,39,51
13,Corinthians,12,12,14,47,48,50
14,Cruzeiro,11,13,14,35,32,47
15,Vasco da Gama,12,17,9,41,51,45
16,Bahia,12,18,8,50,53,44
17,Santos,11,17,10,39,64,43
18,Goiás,9,18,11,36,53,38
19,Coritiba,8,24,6,41,73,30
20,América-MG,5,24,9,42,81,24
