Posição,Clube,Vitorias,Derrotas,Empates,Gols feitos,Gols sofridos,Pontos
1,Flamengo,7,1,2,18,6,23
2,Sport,5,2,3,13,12,18
3,Palmeiras,5,3,2,15,8,17
4,Atlético-MG,5,3,2,17,14,17
5,Cruzeiro,5,3,2,7,4,17
6,São Paulo,4,1,5,14,11,17
7,Grêmio,4,2,4,10,5,16
8,Internacional,4,2,4,10,6,16
9,Corinthians,4,3,3,12,8,15
10,Fluminense,4,4,2,12,11,14
11,América-MG,4,5,1,14,17,13
12,Vasco da Gama,3,3,4,14,14,13
13,Botafogo,3,3,4,11,11,13
14,Santos,3,5,2,13,15,11
15,Vitória,3,5,2,16,20,11
16,Chapecoense,2,4,4,12,19,10
17,Athletico-PR,2,5,3,10,12,9
18,Paraná,2,5,3,6,13,9
19,Bahia,2,6,2,6,14,8
20,Ceará,0,6,4,4,14,4
