Posição,Clube,Vitorias,Derrotas,Empates,Gols feitos,Gols sofridos,Pontos
1,Palmeiras,23,4,11,64,26,80
2,Flamengo,21,8,9,59,29,72
3,Internacional,19,7,12,51,29,69
4,Grêmio,18,8,12,48,27,66
5,São Paulo,16,7,15,46,34,63
6,Atlético-MG,17,13,8,56,43,59
7,Athletico-PR,16,13,9,54,37,57
8,Cruzeiro,14,13,11,34,34,53
9,Botafogo,13,13,12,38,46,51
10,Santos,13,14,11,46,40,50
11,Bahia,12,14,12,39,41,48
12,Fluminense,12,17,9,32,46,45
13,Corinthians,11,16,11,34,35,44
14,Chapecoense,11,16,11,34,50,44
15,Ceará,10,14,14,32,38,44
16,Vasco da Gama,10,15,13,41,48,43
17,Sport,11,18,9,35,57,42
18,América-MG,10,18,10,30,47,40
19,Vitória,9,19,10,36,63,37
20,Paraná,4,23,11,18,57,23
