Posição,Clube,Vitorias,Derrotas,Empates,Gols feitos,Gols sofridos,Pontos
1,Palmeiras,7,2,1,18,10,22
2,Bragantino,6,0,4,20,11,22
3,Athletico-PR,6,2,2,19,11,20
4,Atlético-MG,6,3,1,13,9,19
5,Fortaleza,5,2,3,18,9,18
6,Bahia,5,3,2,18,13,17
7,Santos,4,3,3,11,10,15
8,Flamengo,4,4,2,14,12,14
9,Atlético-GO,4,4,2,9,10,14
10,Ceará,3,2,5,11,10,14
11,Corinthians,3,2,5,8,7,14
12,Fluminense,3,2,5,8,9,14
13,Juventude,3,4,3,7,12,12
14,Internacional,2,4,4,10,16,10
15,América-MG,2,5,3,9,15,9
16,Cuiabá,1,4,5,7,11,8
16,São Paulo,1,4,5,7,11,8
18,Sport,1,5,4,5,9,7
19,Grêmio,1,6,3,7,14,6
20,Chapecoense,0,6,4,8,18,4
