Posição,Clube,Vitorias,Derrotas,Empates,Gols feitos,Gols sofridos,Pontos
1,Flamengo,23,5,10,78,27,79
2,Palmeiras,23,8,7,66,33,76
3,Cruzeiro,19,6,13,55,31,70
4,Mirassol,18,7,13,63,39,67
5,Fluminense,19,12,7,50,39,64
6,Botafogo,17,9,12,58,38,63
7,Bahia,17,12,9,50,46,60
8,São Paulo,14,15,9,43,47,51
9,Grêmio,13,15,10,47,50,49
10,Bragantino,14,18,6,45,57,48
11,Atlético-MG,12,14,12,43,44,48
12,Santos,12,15,11,45,50,47
13,Corinthians,12,15,11,42,47,47
14,Vasco da Gama,13,19,6,55,60,45
15,Vitória,11,15,12,35,52,45
16,Internacional,11,16,11,44,57,44
17,Ceará,11,17,10,34,40,43
18,Fortaleza,11,17,10,43,58,43
19,Juventude,9,21,8,35,69,35
20,Sport,2,25,11,28,75,17
