Posição,Clube,Vitorias,Derrotas,Empates,Gols feitos,Gols sofridos,Pontos
1,Palmeiras,23,3,12,66,27,81
2,Internacional,20,5,13,58,31,73
3,Fluminense,21,10,7,63,41,70
4,Corinthians,18,9,11,44,36,65
5,Flamengo,18,12,8,60,39,62
6,Athletico-PR,16,12,10,48,48,58
7,Atlético-MG,15,10,13,45,37,58
8,Fortaleza,15,13,10,46,39,55
9,São Paulo,13,10,15,55,42,54
10,América-MG,15,15,8,40,40,53
11,Botafogo,15,15,8,41,43,53
12,Santos,12,15,11,44,41,47
13,Goiás,11,14,13,40,53,46
14,Bragantino,11,16,11,49,59,44
15,Coritiba,12,20,6,39,60,42
16,Cuiabá,10,17,11,31,42,41
17,Ceará,7,15,16,34,41,37
18,Atlético-GO,8,18,12,39,57,36
19,Avaí,9,21,8,34,60,35
20,Juventude,3,22,13,29,69,22
