Posição,Clube,Vitorias,Derrotas,Empates,Gols feitos,Gols sofridos,Pontos
1,Palmeiras,5,1,4,17,5,19
2,Corinthians,5,2,3,13,9,18
3,Athletico-PR,5,4,1,11,12,16
4,Atlético-MG,4,2,4,16,13,16
5,Coritiba,4,3,3,14,12,15
6,São Paulo,3,1,6,16,12,15
7,Internacional,3,1,6,11,9,15
8,Fluminense,4,4,2,13,12,14
9,América-MG,4,4,2,11,12,14
10,Santos,3,3,4,13,9,13
11,Bragantino,3,3,4,11,10,13
12,Ceará,3,3,4,12,12,13
13,Goiás,3,3,4,11,13,13
14,Flamengo,3,4,3,10,10,12
15,Botafogo,3,4,3,12,15,12
16,Avaí,3,5,2,11,15,11
17,Cuiabá,3,5,2,8,12,11
18,Atlético-GO,2,4,4,8,13,10
19,Juventude,2,4,4,10,17,10
20,Fortaleza,1,6,3,7,13,6
