Posição,Clube,Vitorias,Derrotas,Empates,Gols feitos,Gols sofridos,Pontos
1,Botafogo,8,2,0,18,7,24
2,Palmeiras,6,0,4,22,8,22
3,Flamengo,6,3,1,21,11,19
4,Atlético-MG,5,2,3,14,8,18
5,Fluminense,5,3,2,16,11,17
6,Grêmio,5,3,2,14,15,17
7,Athletico-PR,5,4,1,14,13,16
8,São Paulo,4,3,3,15,11,15
9,Cruzeiro,4,4,2,14,10,14
10,Internacional,4,4,2,10,13,14
11,Fortaleza,3,2,5,12,8,14
12,Bragantino,3,2,5,15,14,14
13,Santos,3,3,4,9,8,13
14,Cuiabá,3,4,3,9,14,12
15,Bahia,2,5,3,11,16,9
16,Corinthians,2,5,3,9,15,9
17,Goiás,2,6,2,9,18,8
18,América-MG,2,6,2,11,22,8
19,Vasco da Gama,1,6,3,10,19,6
20,Coritiba,0,6,4,8,20,4
