Posição,Clube,Vitorias,Derrotas,Empates,Gols feitos,Gols sofridos,Pontos
1,Botafogo,23,5,10,59,29,79
2,Palmeiras,22,9,7,60,33,73
3,Flamengo,20,8,10,61,42,70
4,Fortaleza,19,8,11,53,39,68
5,Internacional,18,9,11,53,36,65
6,São Paulo,17,13,8,53,43,59
7,Corinthians,15,12,11,54,45,56
8,Bahia,15,15,8,49,49,53
9,Cruzeiro,14,14,10,43,41,52
10,Vasco da Gama,14,16,8,43,56,50
11,Vitória,13,17,8,45,52,47
12,Atlético-MG,11,13,14,47,54,47
13,Fluminense,12,16,10,33,39,46
14,Grêmio,12,17,9,44,50,45
15,Juventude,11,15,12,48,59,45
16,Bragantino,10,14,14,44,48,44
17,Athletico-PR,11,18,9,40,46,42
18,Criciúma,9,18,11,42,61,38
19,Atlético-GO,7,22,9,29,58,30
20,Cuiabá,6,20,12,29,49,30
