Posição,Clube,Vitorias,Derrotas,Empates,Gols feitos,Gols sofridos,Pontos
1,Atlético-MG,26,6,6,67,34,84
2,Flamengo,21,9,8,69,36,71
3,Palmeiras,20,12,6,58,43,66
4,Fortaleza,17,14,7,44,45,58
5,Corinthians,15,11,12,40,36,57
6,Bragantino,14,10,14,55,46,56
7,Fluminense,15,14,9,38,38,54
8,América-MG,13,11,14,41,37,53
9,Atlético-GO,13,11,14,33,36,53
10,Santos,12,12,14,35,40,50
11,Ceará,11,10,17,39,38,50
12,Internacional,12,14,12,44,42,48
13,São Paulo,11,12,15,31,39,48
14,Athletico-PR,13,17,8,41,45,47
15,Cuiabá,10,11,17,34,37,47
16,Juventude,11,14,13,36,44,46
17,Grêmio,12,19,7,44,51,43
18,Bahia,11,17,10,42,51,43
19,Sport,9,18,11,24,37,38
20,Chapecoense,1,25,12,27,67,15
