Posição,Clube,Vitorias,Derrotas,Empates,Gols feitos,Gols sofridos,Pontos
1,Internacional,6,2,2,15,6,20
2,Atlético-MG,6,4,0,14,11,18
3,Vasco da Gama,5,2,3,16,10,18
4,São Paulo,5,2,3,15,11,18
5,Palmeiras,4,0,6,14,9,18
6,Flamengo,5,3,2,13,13,17
7,Santos,4,3,3,14,12,15
8,Grêmio,3,1,6,10,7,15
9,Athletico-PR,4,4,2,10,9,14
10,Fluminense,4,4,2,12,13,14
11,Ceará,4,5,1,10,12,13
12,Atlético-GO,3,3,4,9,11,13
13,Fortaleza,3,4,3,10,9,12
14,Bahia,3,4,3,12,16,12
15,Sport,3,5,2,10,13,11
16,Corinthians,2,4,4,12,14,10
17,Botafogo,1,3,6,10,13,9
18,Coritiba,2,6,2,7,12,8
19,Goiás,2,6,2,12,18,8
20,Bragantino,1,5,4,10,16,7
